The Times
Plains,Western,Hub,,,,,,,,,,,
Industrial,Road,Steampunk,,,,,,,,,,,
Tree,Rouge,Eastern,,,,,,,,,,,
Wasteland,Desert,Scorched,,,,,,,,,,,
Wall,Obsidian,Valley,,,,,,,,,,,
Skybridge,Ships,Docks,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# Plains,,,,,,,,,,,,,
TEAM,Plains,Western,Pheonix,PHO,85,HYD,,,,,,,
TEAM,Plains,Western,Lords,LOR,25,PUF,,,,,,,
TEAM,Plains,Western,Beastmasters,BST,25,SCT,,,,,,,
TEAM,Plains,Western,Summoners,SUM,25,GEN,,,,,,,
TEAM,Plains,Western,Wurms,WUR,25,ROB,,,,,,,
TEAM,Plains,Western,Earthquake,EQK,25,PKS,,,,,,,
TEAM,Plains,Western,Criminals,CRM,25,GRD,,,,,,,
TEAM,Plains,Hub,Hydra,HYD,85,PHO,,,,,,,
TEAM,Plains,Hub,Puffs,PUF,25,LOR,,,,,,,
TEAM,Plains,Hub,Scouts,SCT,25,BST,,,,,,,
TEAM,Plains,Hub,Generals,GEN,25,SUM,,,,,,,
TEAM,Plains,Hub,Robins,ROB,25,WUR,,,,,,,
TEAM,Plains,Hub,Peaks,PKS,25,EQK,,,,,,,
TEAM,Plains,Hub,Guards,GRD,25,CRM,,,,,,,
# Industrial,,,,,,,,,,,,,
TEAM,Industrial,Road,Stallions,STL,65,BUF,,,,,,,
TEAM,Industrial,Road,Witnesses,WIT,25,KNG,,,,,,,
TEAM,Industrial,Road,Possesed,POS,25,MCH,,,,,,,
TEAM,Industrial,Road,Golems,GOL,65,OWB,,,,,,,
TEAM,Industrial,Road,Roadsters,RDS,25,ART,,,,,,,
TEAM,Industrial,Road,Off Roads,OFR,25,TRN,,,,,,,
TEAM,Industrial,Road,Peacekeepers,PEK,75,TPH,,,,,,,
TEAM,Industrial,Steampunk,Buffalo,BUF,75,STL,,,,,,,
TEAM,Industrial,Steampunk,Kings,KNG,25,WIT,,,,,,,
TEAM,Industrial,Steampunk,Machines,MCH,25,POS,,,,,,,
TEAM,Industrial,Steampunk,Owlbears,OWB,25,GOL,,,,,,,
TEAM,Industrial,Steampunk,Artificers,ART,25,RDS,,,,,,,
TEAM,Industrial,Steampunk,Trains,TRN,25,OFR,,,,,,,
TEAM,Industrial,Steampunk,Tophats,TPH,75,PEK,,,,,,,
# Tree,,,,,,,,,,,,,
TEAM,Tree,Rouge,Wolfs,WLF,85,ALC,,,,,,,
TEAM,Tree,Rouge,Titans,TTN,95,FRG,,,,,,,
TEAM,Tree,Rouge,Wizards,WIZ,25,ENT,,,,,,,
